,Event,Gender,Location,Year,Medal,Name,Nationality,Result
1609,Javelin Throw,W,Atlanta,1996,S,Louise MCPAUL,AUS,65.54
1610,Javelin Throw,W,Atlanta,1996,B,Trine HATTESTAD,NOR,64.98
1611,400M Hurdles,W,Atlanta,1996,B,Tonja BUFORD-BAILEY,USA,53.22
1612,400M Hurdles,W,Atlanta,1996,S,Kim BATTEN,USA,53.08
1613,200M,W,Atlanta,1996,B,Mary ONYALI,NGR,22.38
1614,400M Hurdles,W,Atlanta,1996,G,Deon Marie HEMMINGS,JAM,52.82
1615,Long Jump,W,Atlanta,1996,G,Chioma AJUNWA,NGR,7.12
1616,Long Jump,W,Atlanta,1996,B,Jackie JOYNER,USA,7.0
1617,100M Hurdles,W,Atlanta,1996,B,Patricia GIRARD,FRA,12.65
1618,100M Hurdles,W,Atlanta,1996,S,Brigita BUKOVEC,SLO,12.59
1619,100M Hurdles,W,Atlanta,1996,G,Ludmila ENGQUIST,SWE,12.58
1620,Marathon,W,Atlanta,1996,G,Fatuma ROBA,ETH,2:26:05
1621,Discus Throw,W,Atlanta,1996,S,Natalya SADOVA,RUS,66.48
1622,4X400M Relay,W,Atlanta,1996,G,,USA,3:20.91
1623,4X400M Relay,W,Atlanta,1996,S,,NGR,3:21.04
1624,4X400M Relay,W,Atlanta,1996,B,,GER,3:21.14
1625,5000M,W,Atlanta,1996,G,Junxia WANG,CHN,14:59.88
1626,Marathon,W,Atlanta,1996,B,Yuko ARIMORI,JPN,2:28:39
1627,5000M,W,Atlanta,1996,S,Pauline KONGA,KEN,15:03.49
1628,100M,W,Atlanta,1996,B,Gwen TORRENCE,USA,10.96
1629,100M,W,Atlanta,1996,S,Merlene OTTEY,JAM,10.94
1630,100M,W,Atlanta,1996,G,Gail DEVERS,USA,10.94
1631,High Jump,W,Atlanta,1996,G,Stefka KOSTADINOVA,BUL,2.05
1632,High Jump,W,Atlanta,1996,S,Niki BAKOGIANNI,GRE,2.03
1633,High Jump,W,Atlanta,1996,B,Inha BABAKOVA,UKR,2.01
1634,5000M,W,Atlanta,1996,B,Roberta BRUNET,ITA,15:07.52
1635,Long Jump,W,Atlanta,1996,S,Fiona MAY,ITA,7.02
1636,Triple Jump,W,Atlanta,1996,B,Sarka KASPARKOVA,CZE,14.98
1637,Javelin Throw,M,Atlanta,1996,B,Seppo RÃTY,FIN,86.98
1638,20Km Race Walk,M,Atlanta,1996,S,Ilya MARKOV,RUS,1:20:16
1639,20Km Race Walk,M,Atlanta,1996,G,Jefferson PEREZ,ECU,1:20:07
1640,Decathlon,M,Atlanta,1996,B,TomÃ¡? DVORÃK,CZE,8664.0
1641,Decathlon,M,Atlanta,1996,S,Frank BUSEMANN,GER,8706.0
1642,Decathlon,M,Atlanta,1996,G,Dan O'BRIEN,USA,8824.0
1643,110M Hurdles,M,Atlanta,1996,G,Allen JOHNSON,USA,12.95
1644,Long Jump,M,Atlanta,1996,B,Joe GREENE,USA,8.24
1645,Long Jump,M,Atlanta,1996,S,James BECKFORD,JAM,8.29
1646,400M Hurdles,M,Atlanta,1996,S,Samuel MATETE,ZAM,47.78
1647,400M Hurdles,M,Atlanta,1996,B,Calvin DAVIS,USA,47.96
1648,Long Jump,M,Atlanta,1996,G,Carl LEWIS,USA,8.5
1649,800M,M,Atlanta,1996,B,Fred ONYANCHA,KEN,1:42.79
1650,800M,M,Atlanta,1996,S,Hezekiel SEPENG,RSA,1:42.74
1651,800M,M,Atlanta,1996,G,VebjÃ¸rn RODAL,NOR,1:42.58
1652,Marathon,M,Atlanta,1996,S,Bong Ju LEE,KOR,2:12:39
1653,Shot Put,M,Atlanta,1996,S,John GODINA,USA,20.79
1654,Shot Put,M,Atlanta,1996,B,Oleksandr BAGACH,UKR,20.75
1655,20Km Race Walk,M,Atlanta,1996,B,Bernardo SEGURA,MEX,1:20:23
1656,10000M,M,Atlanta,1996,B,Salah HISSOU,MAR,27:24.67
1657,Pole Vault,M,Atlanta,1996,B,Andrei TIVONTCHIK,GER,5.92
1658,Pole Vault,M,Atlanta,1996,G,Jean GALFIONE,FRA,5.92
1659,Marathon,M,Atlanta,1996,B,Erick WAINAINA,KEN,2:12:44
1660,3000M Steeplechase,M,Atlanta,1996,B,Alessandro LAMBRUSCHINI,ITA,8:11.28
1661,Hammer Throw,M,Atlanta,1996,G,BalÃ¡zs KISS,HUN,81.24
1662,3000M Steeplechase,M,Atlanta,1996,S,Moses KIPTANUI,KEN,8:08.33
1663,3000M Steeplechase,M,Atlanta,1996,G,Joseph KETER,KEN,8:07.12
1664,Hammer Throw,M,Atlanta,1996,S,Lance Earl DEAL,USA,81.12
1665,Hammer Throw,M,Atlanta,1996,B,Oleksiy KRYKUN,UKR,80.02
1666,Hammer Throw,M,Atlanta,1996,B,Oleksandr KRYKUN,UKR,80.02
1667,Triple Jump,W,Atlanta,1996,S,Inna LASOVSKAYA,RUS,14.98
1668,100M,M,Atlanta,1996,B,Ato BOLDON,TTO,9.9
1669,100M,M,Atlanta,1996,S,Frank FREDERICKS,NAM,9.89
1670,100M,M,Atlanta,1996,G,Donovan BAILEY,CAN,9.84
1671,Discus Throw,M,Atlanta,1996,B,Vasiliy KAPTYUKH,BLR,65.8
1672,Discus Throw,M,Atlanta,1996,S,Vladimir DUBROVSHCHIK,BLR,66.6
1673,Discus Throw,M,Atlanta,1996,G,Lars RIEDEL,GER,69.4
1674,400M Hurdles,M,Atlanta,1996,G,Derrick ADKINS,USA,47.54
1675,Javelin Throw,M,Atlanta,1996,S,Steve BACKLEY,GBR,87.44
1676,Pole Vault,M,Atlanta,1996,S,Igor TRANDENKOV,RUS,5.92
1677,400M,M,Atlanta,1996,G,Michael JOHNSON,USA,43.49
1678,Shot Put,M,Atlanta,1996,G,Randy BARNES,USA,21.62
1679,400M,M,Atlanta,1996,B,Davis KAMOGA,UGA,44.53
1680,4X100M Relay,M,Atlanta,1996,B,,BRA,38.41
1681,400M,M,Atlanta,1996,S,Roger BLACK,GBR,44.41
1682,High Jump,M,Atlanta,1996,B,Steve SMITH,GBR,2.35
1683,Triple Jump,M,Atlanta,1996,G,Kenny HARRISON,USA,18.09
1684,Triple Jump,M,Atlanta,1996,S,Jonathan EDWARDS,GBR,17.88
1685,Triple Jump,M,Atlanta,1996,B,Yoelvis QUESADA,CUB,17.44
1686,1500M,M,Atlanta,1996,B,Stephen KIPKORIR,KEN,3:36.72
1687,High Jump,M,Atlanta,1996,G,Charles AUSTIN,USA,2.39
1688,1500M,M,Atlanta,1996,S,Fermin CACHO RUIZ,ESP,3:36.40
1689,4X400M Relay,M,Atlanta,1996,S,,GBR,2:56.60
1690,5000M,M,Atlanta,1996,B,Khalid BOULAMI,MAR,13:08.37
1691,5000M,M,Atlanta,1996,S,Paul BITOK,KEN,13:08.16
1692,5000M,M,Atlanta,1996,G,Venuste NIYONGABO,BDI,13:07.96
1693,4X400M Relay,M,Atlanta,1996,B,,JAM,2:59.42
1694,1500M,M,Atlanta,1996,G,Noureddine MORCELI,ALG,3:35.78
1695,Javelin Throw,M,Atlanta,1996,G,Jan Å½ELEZNÃ,CZE,88.16
1696,4X400M Relay,M,Atlanta,1996,G,,USA,2:55.99
1697,4X100M Relay,M,Atlanta,1996,S,,USA,38.05
1698,High Jump,M,Atlanta,1996,S,Artur PARTYKA,POL,2.37
1699,4X100M Relay,M,Atlanta,1996,G,,CAN,37.69
1700,10000M,M,Atlanta,1996,S,Paul TERGAT,KEN,27:08.17
1701,10000M,M,Atlanta,1996,G,Haile GEBRSELASSIE,ETH,27:07.34
1702,200M,M,Atlanta,1996,B,Ato BOLDON,TTO,19.8
1703,200M,M,Atlanta,1996,S,Frank FREDERICKS,NAM,19.68
1704,200M,M,Atlanta,1996,G,Michael JOHNSON,USA,19.32
1705,110M Hurdles,M,Atlanta,1996,S,Mark CREAR,USA,13.09
1706,110M Hurdles,M,Atlanta,1996,B,Florian SCHWARTHOFF,GER,13.17
1707,50Km Race Walk,M,Atlanta,1996,B,Valentin MASSANA,ESP,3:44:19
1708,50Km Race Walk,M,Atlanta,1996,S,Mikhail SHCHENNIKOV,RUS,3:43:46
1709,Marathon,M,Atlanta,1996,G,Josia THUGWANE,RSA,2:12:36
1710,50Km Race Walk,M,Atlanta,1996,G,Robert KORZENIOWSKI,POL,3:43:30
1711,400M Hurdles,W,Sydney,2000,B,Nezha BIDOUANE,MAR,53.57
1712,20Km Race Walk,M,Sydney,2000,G,Robert KORZENIOWSKI,POL,01h18:59
1713,High Jump,W,Sydney,2000,B,Oana PANTELIMON,ROU,1.99
1714,20Km Race Walk,W,Sydney,2000,G,Liping WANG,CHN,01h29:05
1715,Javelin Throw,M,Sydney,2000,B,Sergey MAKAROV,RUS,88.67
1716,Javelin Throw,M,Sydney,2000,S,Steve BACKLEY,GBR,89.85
1717,20Km Race Walk,W,Sydney,2000,G,Liping WANG,CHN,01h29:05
1718,5000M,M,Sydney,2000,S,Ali SAIDI-SIEF,ALG,13:36.20
1719,High Jump,M,Sydney,2000,S,Javier SOTOMAYOR,CUB,2.32
1720,High Jump,M,Sydney,2000,B,Abderrahmane HAMMAD,ALG,2.32
1721,3000M Steeplechase,M,Sydney,2000,B,Ali EZZINE,MAR,08:22.15
1722,Javelin Throw,W,Sydney,2000,B,Osleidys MENÃNDEZ,CUB,66.18
1723,Javelin Throw,W,Sydney,2000,S,Mirela MANIANI,GRE,67.51
1724,Javelin Throw,M,Sydney,2000,G,Jan Å½ELEZNÃ,CZE,90.17
1725,Javelin Throw,W,Sydney,2000,G,Trine HATTESTAD,NOR,68.91
1726,3000M Steeplechase,M,Sydney,2000,S,Wilson Boit KIPKETER,KEN,08:21.77
1727,3000M Steeplechase,M,Sydney,2000,G,Reuben KOSGEI,KEN,08:21.43
1728,20Km Race Walk,M,Sydney,2000,S,Noe HERNANDEZ,MEX,01h19:03
1729,20Km Race Walk,M,Sydney,2000,B,Vladimir ANDREYEV,RUS,01h19:27
1730,High Jump,M,Sydney,2000,G,Sergey KLYUGIN,RUS,2.35
1731,200M,M,Sydney,2000,G,Kostas KENTERIS,GRE,20.09
1732,200M,M,Sydney,2000,S,Darren CAMPBELL,GBR,20.14
1733,200M,M,Sydney,2000,B,Ato BOLDON,TTO,20.2
1734,400M Hurdles,W,Sydney,2000,G,Irina PRIVALOVA,RUS,53.02
1735,400M Hurdles,W,Sydney,2000,S,Deon Marie HEMMINGS,JAM,53.45
1736,20Km Race Walk,W,Sydney,2000,B,Maria VASCO,ESP,01h30:23
1737,5000M,W,Sydney,2000,G,Gabriela SZABO,ROU,14:40.79
1738,400M,W,Sydney,2000,S,Lorraine FENTON,JAM,49.58
1739,800M,M,Sydney,2000,S,Wilson KIPKETER,DEN,01:45.14
1740,800M,M,Sydney,2000,G,Nils SCHUMANN,GER,01:45.08
1741,4X100M Relay,M,Sydney,2000,G,,USA,37.61
1742,4X100M Relay,M,Sydney,2000,S,,BRA,37.9
1743,4X400M Relay,W,Sydney,2000,G,,USA,03:22.62
1744,4X400M Relay,W,Sydney,2000,S,,JAM,03:23.25
1745,4X400M Relay,W,Sydney,2000,B,,RUS,03:23.46
1746,4X100M Relay,M,Sydney,2000,B,,CUB,38.04
1747,50Km Race Walk,M,Sydney,2000,B,Joel SANCHEZ GUERRERO,MEX,03h44:36
1748,50Km Race Walk,M,Sydney,2000,S,Aigars FADEJEVS,LAT,03h43:40
1749,50Km Race Walk,M,Sydney,2000,G,Robert KORZENIOWSKI,POL,03h42:22
1750,Discus Throw,W,Sydney,2000,B,Iryna YATCHENKO,BLR,65.2
1751,Discus Throw,W,Sydney,2000,S,Anastasia KELESIDOU,GRE,65.71
1752,Discus Throw,W,Sydney,2000,G,Ellina ZVEREVA,BLR,68.4
1753,4X400M Relay,M,Sydney,2000,G,,NGR,02:58.68
1754,4X400M Relay,M,Sydney,2000,S,,JAM,02:58.78
1755,4X400M Relay,M,Sydney,2000,B,,BAH,02:59.23
1756,5000M,W,Sydney,2000,S,Sonia O'SULLIVAN,IRL,14:41.02
1757,5000M,W,Sydney,2000,B,Gete WAMI,ETH,14:42.23
1758,800M,W,Sydney,2000,G,Maria MUTOLA,MOZ,01:56.15
1759,800M,W,Sydney,2000,S,Stephanie GRAF,AUT,01:56.64
1760,800M,W,Sydney,2000,B,Kelly HOLMES,GBR,01:56.80
1761,5000M,M,Sydney,2000,G,Millon WOLDE,ETH,13:35.49
1762,800M,M,Sydney,2000,B,Djabir SAID GUERNI,ALG,01:45.16
1763,400M,M,Sydney,2000,B,Greg HAUGHTON,JAM,44.7
1764,400M,M,Sydney,2000,S,Alvin HARRISON,USA,44.4
1765,400M,M,Sydney,2000,G,Michael JOHNSON,USA,43.84
1766,400M,W,Sydney,2000,B,Katharine MERRY,GBR,49.72
1767,High Jump,W,Sydney,2000,B,Kajsa BERGQVIST,SWE,1.99
1768,High Jump,W,Sydney,2000,S,Hestrie CLOETE,RSA,2.01
1769,High Jump,W,Sydney,2000,G,Yelena YELESINA,RUS,2.01
1770,Hammer Throw,M,Sydney,2000,B,Igor ASTAPKOVICH,BLR,79.17
1771,Hammer Throw,M,Sydney,2000,S,Nicola VIZZONI,ITA,79.64
1772,Hammer Throw,M,Sydney,2000,G,Szymon ZIOLKOWSKI,POL,80.02
1773,400M Hurdles,M,Sydney,2000,G,Angelo TAYLOR,USA,47.5
1774,400M Hurdles,M,Sydney,2000,S,Hadi Soua An AL SOMAILY,KSA,47.53
1775,400M Hurdles,M,Sydney,2000,B,Llewellyn HERBERT,RSA,47.81
1776,Heptathlon,W,Sydney,2000,S,Yelena PROKHOROVA,RUS,6531.0
1777,400M,W,Sydney,2000,G,Cathy FREEMAN,AUS,49.11
1778,Heptathlon,W,Sydney,2000,G,Denise LEWIS,GBR,6584.0
1779,4X100M Relay,W,Sydney,2000,S,,JAM,42.13
1780,4X100M Relay,W,Sydney,2000,B,,USA,42.2
1781,Discus Throw,M,Sydney,2000,B,Frantz KRUGER,RSA,68.19
1782,Discus Throw,M,Sydney,2000,S,Lars RIEDEL,GER,68.5
1783,Discus Throw,M,Sydney,2000,G,Virgilijus ALEKNA,LTU,69.3
1784,Hammer Throw,W,Sydney,2000,B,Kirsten MÃNCHOW,GER,69.28
1785,Hammer Throw,W,Sydney,2000,S,Olga KUZENKOVA,RUS,69.77
1786,Hammer Throw,W,Sydney,2000,G,Kamila SKOLIMOWSKA,POL,71.16
1787,Decathlon,M,Sydney,2000,B,Chris HUFFINS,USA,8595.0
1788,Decathlon,M,Sydney,2000,S,Roman SEBRLE,CZE,8606.0
1789,Decathlon,M,Sydney,2000,G,Erki NOOL,EST,8641.0
1790,4X100M Relay,W,Sydney,2000,G,,BAH,41.95
1791,Heptathlon,W,Sydney,2000,B,Natalya SAZANOVICH,BLR,6527.0
1792,20Km Race Walk,W,Sydney,2000,S,Kjersti PLAETZER,NOR,01h29:33
1793,5000M,M,Sydney,2000,B,Brahim LAHLAFI,MAR,13:36.47
1794,Marathon,M,Sydney,2000,S,Erick WAINAINA,KEN,02h10:31
1795,100M,M,Sydney,2000,G,Maurice GREENE,USA,9.87
1796,Marathon,M,Sydney,2000,G,Gezahegne ABERA,ETH,02h10:11
1797,Marathon,W,Sydney,2000,S,Lidia SIMON,ROU,02h23:22
1798,Marathon,W,Sydney,2000,G,Naoko TAKAHASHI,JPN,02h23:14
1799,110M Hurdles,M,Sydney,2000,S,Terrence TRAMMELL,USA,13.16
1800,Triple Jump,M,Sydney,2000,G,Jonathan EDWARDS,GBR,17.71
1801,110M Hurdles,M,Sydney,2000,B,Mark CREAR,USA,13.22
1802,Triple Jump,M,Sydney,2000,S,Yoel GARCÃA,CUB,17.47
1803,Triple Jump,M,Sydney,2000,B,Denis KAPUSTIN,RUS,17.46
1804,1500M,W,Sydney,2000,S,Violeta SZEKELY,ROU,04:05.15
1805,1500M,W,Sydney,2000,B,Gabriela SZABO,ROU,04:05.27
1806,100M Hurdles,W,Sydney,2000,B,Melissa MORRISON,USA,12.76
1807,100M Hurdles,W,Sydney,2000,S,Gloria ALOZIE,NGR,12.68
1808,100M Hurdles,W,Sydney,2000,G,Olga SHISHIGINA,KAZ,12.65
1809,Marathon,M,Sydney,2000,B,Tesfaye TOLA,ETH,02h11:10
1810,Marathon,W,Sydney,2000,B,Joyce CHEPCHUMBA,KEN,02h24:45
1811,110M Hurdles,M,Sydney,2000,G,Anier GARCIA,CUB,13.0
1812,100M,M,Sydney,2000,S,Ato BOLDON,TTO,9.99
1813,Pole Vault,W,Sydney,2000,G,Stacy DRAGILA,USA,4.6
1814,Pole Vault,W,Sydney,2000,S,Tatiana GRIGORIEVA,AUS,4.55
1815,Pole Vault,W,Sydney,2000,B,Vala FLOSADÃTTIR,ISL,4.5
1816,Shot Put,M,Sydney,2000,G,Arsi HARJU,FIN,21.29
1817,Shot Put,M,Sydney,2000,S,Adam NELSON,USA,21.21
1818,Shot Put,M,Sydney,2000,B,John GODINA,USA,21.2
1819,Pole Vault,M,Sydney,2000,B,Maksim TARASOV,RUS,5.9
1820,10000M,M,Sydney,2000,B,Assefa MEZGEBU,ETH,27:19.75
1821,100M,W,Sydney,2000,B,Merlene OTTEY,JAM,11.19
1822,Pole Vault,M,Sydney,2000,S,Lawrence JOHNSON,USA,5.9
1823,Pole Vault,M,Sydney,2000,G,Nick HYSONG,USA,5.9
1824,100M,W,Sydney,2000,S,Ekaterini THANOU,GRE,11.12
1825,Shot Put,W,Sydney,2000,G,Yanina KAROLCHIK,BLR,20.56
1826,Shot Put,W,Sydney,2000,S,Larisa PELESHENKO,RUS,19.92
1827,Shot Put,W,Sydney,2000,B,Astrid KUMBERNUSS,GER,19.62
1828,100M,M,Sydney,2000,B,Obadele THOMPSON,BAR,10.04
1829,100M,W,Sydney,2000,S,Tanya LAWRENCE,JAM,11.18
1830,10000M,M,Sydney,2000,S,Paul TERGAT,KEN,27:18.29
1831,1500M,W,Sydney,2000,G,Nouria MERAH-BENIDA,ALG,04:05.10
1832,200M,W,Sydney,2000,S,Susanthika JAYASINGHE,SRI,22.28
1833,Long Jump,W,Sydney,2000,G,Heike DRECHSLER,GER,6.99
1834,Triple Jump,W,Sydney,2000,G,Tereza MARINOVA,BUL,15.2
1835,200M,W,Sydney,2000,G,Pauline DAVIS,BAH,22.27
1836,1500M,M,Sydney,2000,S,Hicham EL GUERROUJ,MAR,03:32.32
1837,10000M,W,Sydney,2000,B,Fernanda RIBEIRO,POR,30:22.88
1838,200M,W,Sydney,2000,B,Beverly MCDONALD,JAM,22.35
1839,Long Jump,W,Sydney,2000,S,Fiona MAY,ITA,6.92
1840,Long Jump,M,Sydney,2000,G,Ivan PEDROSO,CUB,8.55
1841,1500M,M,Sydney,2000,B,Bernard LAGAT,KEN,03:32.44
1842,10000M,W,Sydney,2000,S,Gete WAMI,ETH,30:22.48
1843,10000M,W,Sydney,2000,G,Derartu TULU,ETH,30:17.49
1844,Long Jump,M,Sydney,2000,B,Roman SCHURENKO,UKR,8.31
1845,Long Jump,M,Sydney,2000,S,Jai TAURIMA,AUS,8.49
1846,1500M,M,Sydney,2000,G,Noah Kiprono NGENYI,KEN,03:32.07
1847,10000M,M,Sydney,2000,G,Haile GEBRSELASSIE,ETH,27:18.20
1848,Triple Jump,W,Sydney,2000,B,Olena HOVOROVA,UKR,14.96
1849,Triple Jump,W,Sydney,2000,S,Tatyana LEBEDEVA,RUS,15.0
1850,Long Jump,W,Sydney,2000,B,Tatyana KOTOVA,RUS,6.83
1851,4X100M Relay,W,Athens,2004,B,,FRA,42.54
1852,800M,W,Athens,2004,G,Kelly HOLMES,GBR,1:56.38
1853,800M,M,Athens,2004,B,Wilson KIPKETER,DEN,1:44.65
1854,800M,W,Athens,2004,S,Hasna BENHASSI,MAR,1:56.43
1855,100M,M,Athens,2004,G,Justin GATLIN,USA,9.85
1856,Shot Put,M,Athens,2004,B,Manuel MARTINEZ,ESP,20.84
1857,800M,W,Athens,2004,B,Jolanda CEPLAK,SLO,1:56.43
1858,4X100M Relay,W,Athens,2004,S,,RUS,42.27
1859,4X100M Relay,W,Athens,2004,G,,JAM,41.73
1860,10000M,W,Athens,2004,B,Derartu TULU,ETH,30:26.42
1861,Shot Put,M,Athens,2004,G,Adam NELSON,USA,21.16
1862,Pole Vault,M,Athens,2004,B,Giuseppe GIBILISCO,ITA,5.85
1863,Triple Jump,W,Athens,2004,B,Tatyana LEBEDEVA,RUS,15.14
1864,5000M,M,Athens,2004,G,Hicham EL GUERROUJ,MAR,13:14.39
1865,5000M,M,Athens,2004,S,Kenenisa BEKELE,ETH,13:14.59
1866,Pole Vault,W,Athens,2004,G,Yelena ISINBAEVA,RUS,4.91
1867,5000M,M,Athens,2004,B,Eliud Kipchoge ROTICH,KEN,13:15.10
1868,Shot Put,M,Athens,2004,S,Joachim Broechner OLSEN,DEN,21.07
1869,Hammer Throw,W,Athens,2004,B,Yunaika CRAWFORD,CUB,73.16
1870,Hammer Throw,W,Athens,2004,G,Olga KUZENKOVA,RUS,75.02
1871,Pole Vault,W,Athens,2004,S,Svetlana FEOFANOVA,RUS,4.75
1872,Pole Vault,W,Athens,2004,B,Anna ROGOWSKA,POL,4.7
1873,Decathlon,M,Athens,2004,B,Dmitriy KARPOV,KAZ,8725.0
1874,Decathlon,M,Athens,2004,S,Bryan CLAY,USA,8820.0
1875,Decathlon,M,Athens,2004,G,Roman SEBRLE,CZE,8893.0
1876,Hammer Throw,W,Athens,2004,S,Yipsi MORENO,CUB,73.36
1877,Triple Jump,W,Athens,2004,S,Hrysopiyi DEVETZI,GRE,15.25
1878,800M,M,Athens,2004,G,Yuriy BORZAKOVSKIY,RUS,1:44.45
1879,Triple Jump,W,Athens,2004,G,Francoise MBANGO ETONE,CMR,15.3
1880,50Km Race Walk,M,Athens,2004,B,Aleksey VOYEVODIN,RUS,3h43:34
1881,10000M,W,Athens,2004,S,Ejegayehu DIBABA,ETH,30:24.98
1882,4X400M Relay,M,Athens,2004,S,,AUS,3:00.60
1883,50Km Race Walk,M,Athens,2004,S,Denis NIZHEGORODOV,RUS,3h42:50
1884,50Km Race Walk,M,Athens,2004,G,Robert KORZENIOWSKI,POL,3h38:46
1885,Triple Jump,M,Athens,2004,G,Christian OLSSON,SWE,17.79
1886,4X100M Relay,M,Athens,2004,G,,GBR,38.07
1887,4X100M Relay,M,Athens,2004,S,,USA,38.08
1888,4X100M Relay,M,Athens,2004,B,,NGR,38.23
1889,Triple Jump,M,Athens,2004,S,Marian OPREA,ROU,17.55
1890,Triple Jump,M,Athens,2004,B,Daniil Sergeyevich BURKENYA,RUS,17.48
1891,4X400M Relay,W,Athens,2004,G,,USA,3:19.01
1892,4X400M Relay,W,Athens,2004,S,,RUS,3:20.16
1893,4X400M Relay,W,Athens,2004,B,,JAM,3:22.00
1894,4X400M Relay,M,Athens,2004,G,,USA,2:55.91
1895,10000M,M,Athens,2004,G,Kenenisa BEKELE,ETH,27:05.10
1896,Shot Put,W,Athens,2004,S,Nadine KLEINERT-SCHMITT,GER,19.55
1897,Shot Put,W,Athens,2004,G,Yumileidi CUMBA,CUB,19.59
1898,10000M,W,Athens,2004,G,Huina XING,CHN,30:24.36
1899,400M,M,Athens,2004,G,Jeremy WARINER,USA,44.0
1900,400M,M,Athens,2004,S,Otis HARRIS,USA,44.16
1901,400M,M,Athens,2004,B,Derrick BREW,USA,44.42
1902,5000M,W,Athens,2004,B,Tirunesh DIBABA,ETH,14:51.83
1903,100M Hurdles,W,Athens,2004,B,Melissa MORRISON,USA,12.56
1904,Discus Throw,W,Athens,2004,B,Vera POSPISILOVA-CECHLOVA,CZE,66.08
1905,Discus Throw,W,Athens,2004,S,Anastasia KELESIDOU,GRE,66.68
1906,800M,M,Athens,2004,S,Mbulaeni MULAUDZI,RSA,1:44.61
1907,Discus Throw,W,Athens,2004,G,Natalya SADOVA,RUS,67.02
1908,100M Hurdles,W,Athens,2004,G,Joanna HAYES,USA,12.37
1909,5000M,W,Athens,2004,S,Isabella OCHICHI,KEN,14:48.19
1910,10000M,M,Athens,2004,B,Zersenay TADESE,ERI,27:22.57
1911,10000M,M,Athens,2004,S,Sileshi SIHINE,ETH,27:09.39
1912,5000M,W,Athens,2004,G,Meseret DEFAR,ETH,14:45.65
1913,4X400M Relay,M,Athens,2004,B,,NGR,3:00.90
1914,Pole Vault,M,Athens,2004,S,Toby STEVENSON,USA,5.9
1915,100M Hurdles,W,Athens,2004,S,Olena KRASOVSKA,UKR,12.45
1916,1500M,M,Athens,2004,S,Bernard LAGAT,KEN,3:34.30
1917,1500M,M,Athens,2004,G,Hicham EL GUERROUJ,MAR,3:34.18
1918,400M Hurdles,M,Athens,2004,G,Felix SANCHEZ,DOM,47.63
1919,Long Jump,M,Athens,2004,B,Joan Lino MARTINEZ,ESP,8.32
1920,Long Jump,W,Athens,2004,B,Tatyana KOTOVA,RUS,7.05
1921,110M Hurdles,M,Athens,2004,B,Anier GARCIA,CUB,13.2
1922,20Km Race Walk,W,Athens,2004,G,Athanasia TSOUMELEKA,GRE,1h29:12
1923,20Km Race Walk,W,Athens,2004,S,Olimpiada IVANOVA,RUS,1h29:16
1924,20Km Race Walk,W,Athens,2004,B,Jane SAVILLE,AUS,1h29:25
1925,110M Hurdles,M,Athens,2004,S,Terrence TRAMMELL,USA,13.18
1926,20Km Race Walk,M,Athens,2004,G,Ivano BRUGNETTI,ITA,1h19:40
1927,20Km Race Walk,M,Athens,2004,S,Francisco Javier FERNANDEZ,ESP,1h19:45
1928,20Km Race Walk,M,Athens,2004,B,Nathan DEAKES,AUS,1h20:02
1929,110M Hurdles,M,Athens,2004,G,Xiang LIU,CHN,12.91
1930,400M Hurdles,M,Athens,2004,S,Danny MCFARLANE,JAM,48.11
1931,High Jump,W,Athens,2004,B,Vita STYOPINA,UKR,2.02
1932,High Jump,W,Athens,2004,S,Hestrie CLOETE,RSA,2.02
1933,High Jump,W,Athens,2004,G,Elena SLESARENKO,RUS,2.06
1934,3000M Steeplechase,M,Athens,2004,G,Ezekiel KEMBOI,KEN,8:05.81
1935,3000M Steeplechase,M,Athens,2004,S,Brimin Kiprop KIPRUTO,KEN,8:06.11
1936,400M Hurdles,W,Athens,2004,G,Fani KHALKIA,GRE,52.82
1937,400M Hurdles,W,Athens,2004,S,Ionela TIRLEA,ROU,53.38
1938,Long Jump,M,Athens,2004,S,John MOFFITT,USA,8.47
1939,400M Hurdles,W,Athens,2004,B,Tetyana TERESHCHUK,UKR,53.44
1940,Long Jump,W,Athens,2004,S,Irina SIMAGINA,RUS,7.05
1941,1500M,W,Athens,2004,G,Kelly HOLMES,GBR,3:57.90
1942,Javelin Throw,M,Athens,2004,B,Sergey MAKAROV,RUS,84.84
1943,Javelin Throw,M,Athens,2004,S,Vadims VASILEVSKIS,LAT,84.95
1944,Javelin Throw,M,Athens,2004,G,Andreas THORKILDSEN,NOR,86.5
1945,1500M,M,Athens,2004,B,Rui SILVA,POR,3:34.68
1946,200M,W,Athens,2004,G,Veronica CAMPBELL-BROWN,JAM,22.05
1947,200M,W,Athens,2004,S,Allyson FELIX,USA,22.18
1948,200M,W,Athens,2004,B,Debbie FERGUSON-MCKENZIE,BAH,22.3
1949,Javelin Throw,W,Athens,2004,B,Mirela MANIANI,GRE,64.29
1950,High Jump,M,Athens,2004,B,Jaroslav BABA,CZE,2.34
1951,High Jump,M,Athens,2004,S,Matt HEMINGWAY,USA,2.34
1952,High Jump,M,Athens,2004,G,Stefan HOLM,SWE,2.36
1953,Javelin Throw,W,Athens,2004,S,Steffi NERIUS,GER,65.82
1954,Javelin Throw,W,Athens,2004,G,Osleidys MENÃNDEZ,CUB,71.53
1955,200M,M,Athens,2004,G,Shawn CRAWFORD,USA,19.79
1956,200M,M,Athens,2004,S,Bernard WILLIAMS III,USA,20.01
